Encog Error,Accord Error,Learning Rate,Momentum
0.000368200477075011,0.808459264553716,0.1,0.1
0.000324336477838623,0.800338435822281,0.1,0.2
0.000315986891422076,0.739804657788178,0.1,0.3
0.000312286535999874,0.731729468367966,0.1,0.4
0.000303466063898523,5.56718979753946,0.1,0.5
0.000315067204460276,0.769400378311861,0.1,0.6
0.000294164034215381,0.75868814872903,0.1,0.7
0.000285138095057547,0.745593176675465,0.1,0.8
0.000274456890277086,0.73224998924943,0.1,0.9
0.391846064877445,5.56626128602984,0.1,1
0.000305240555015526,0.859656958262827,0.2,0.1
0.000316672339549305,0.834607849332631,0.2,0.2
0.000293494098163134,0.811540705294944,0.2,0.3
0.000300114708080957,0.790815616794747,0.2,0.4
0.000299867803905415,0.763754399672485,0.2,0.5
0.000284571984620126,0.81321424858955,0.2,0.6
0.000280823178358669,0.738523555427594,0.2,0.7
0.000280285240194306,5.56705013794585,0.2,0.8
0.000273714962961125,0.750180748791346,0.2,0.9
0.530209214129886,5.56677569701542,0.2,1
0.00029330741802271,0.972024689742518,0.3,0.1
0.000300991943833209,0.892530872113035,0.3,0.2
0.000293734844231602,0.888576993306561,0.3,0.3
0.000289683176811476,0.851150689522848,0.3,0.4
0.000285787019767463,0.817455791295427,0.3,0.5
0.000286510598984081,0.788856031701759,0.3,0.6
0.000278900793011801,0.772393701654688,0.3,0.7
0.000278718366266885,0.746505460653304,0.3,0.8
0.000273381909639629,0.714334402151516,0.3,0.9
0.17077614870771,5.56665751834531,0.3,1
0.000315945605611972,1.00623195500111,0.4,0.1
0.000284730757701665,1.01701578123636,0.4,0.2
0.000295453722099567,1.01146930427107,0.4,0.3
0.000283024765993087,0.909820050020384,0.4,0.4
0.000288979188788318,0.861357629377491,0.4,0.5
0.00028472958990225,0.839057469526637,0.4,0.6
0.000281454038186342,0.810710737948522,0.4,0.7
0.000275578517312883,0.773712762276607,0.4,0.8
0.000273301052512685,0.735866493803512,0.4,0.9
0.17077614870771,5.56697289733973,0.4,1
0.000288368422141342,0.904338749538456,0.5,0.1
0.000282282366881865,1.08153171473291,0.5,0.2
0.000284807793874567,1.08315051505173,0.5,0.3
0.000285810634122986,1.0633951369035,0.5,0.4
0.000281319853042824,0.936846694738199,0.5,0.5
0.000277798215870535,0.902246719432205,0.5,0.6
0.0002766391521202,0.821194594243985,0.5,0.7
0.000274577796961828,0.802581380756287,0.5,0.8
0.000273183176932711,0.761294129188923,0.5,0.9
0.17077614870771,5.5665753267052,0.5,1
0.000283866403103355,0.892692802437814,0.6,0.1
0.000289531088575807,1.02638425057603,0.6,0.2
0.000285962369967174,0.903259404940605,0.6,0.3
0.000281785679897057,0.820033436746203,0.6,0.4
0.000280449407354015,0.968187439881474,0.6,0.5
0.000279371309162541,0.896627412344367,0.6,0.6
0.000277526585862835,0.913093923810021,0.6,0.7
0.000276644099277501,0.834894372393967,0.6,0.8
0.170776148707358,0.792181090268611,0.6,0.9
0.17077614870771,5.56718745935328,0.6,1
0.000287875421115912,1.30806459368821,0.7,0.1
0.000282970272544808,1.2863715620471,0.7,0.2
0.000283097879403113,1.05412690487121,0.7,0.3
0.000279749441555628,0.853920963892353,0.7,0.4
0.000280558476419181,0.983421665334548,0.7,0.5
0.000281115697027197,1.00728299504888,0.7,0.6
0.000276704160457023,0.00907825651538808,0.7,0.7
0.170776143498538,0.858155289700881,0.7,0.8
0.000273654307930493,0.833066600409665,0.7,0.9
0.17077614870771,5.56562682114073,0.7,1
0.000283825920137306,1.0170078176111,0.8,0.1
0.000281085137231413,1.56715620766034,0.8,0.2
0.000281764834548587,1.13598586812224,0.8,0.3
0.000278050559701272,0.970889265261286,0.8,0.4
0.000282930861353047,0.981672408646868,0.8,0.5
0.000279825678615169,0.913352017763157,0.8,0.6
0.000279198944014683,0.933330881634634,0.8,0.7
0.000274521288776037,0.851745762510782,0.8,0.8
0.17077614870771,0.905821655467919,0.8,0.9
0.17077614870771,5.56715725681732,0.8,1
0.000282559713363931,1.24917671623812,0.9,0.1
0.000281100304825006,1.62615488377928,0.9,0.2
0.000285855027926786,0.882293930571424,0.9,0.3
0.000282578837094295,1.35839094630086,0.9,0.4
0.000277743436778815,1.05143711920758,0.9,0.5
0.000280363642416128,0.971795284092899,0.9,0.6
0.000277341365247603,0.846726238474956,0.9,0.7
0.170776148707697,1.12035987898048,0.9,0.8
0.17077614870771,1.11819036957012,0.9,0.9
0.17077614870771,5.5671797163097,0.9,1
0.000281817876726845,1.49454761896084,1,0.1
0.000294461445602411,0.955371105253549,1,0.2
0.000279070196443678,1.27011805002373,1,0.3
0.000284835541686497,1.54831596748413,1,0.4
0.00027909497185721,0.810182345711683,1,0.5
0.170775904642618,1.15490163342931,1,0.6
0.000274779743385628,0.96209505326488,1,0.7
0.170776142683769,1.06190782368184,1,0.8
0.170776148707709,1.06843301928496,1,0.9
0.17077614870771,5.56618565918993,1,1
